Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
1,A.T. NANA PATIL,Jalgaon,BJP,0,Graduate,"Rs 10,38,39,607
~ 10 Crore+","Rs 92,00,000
~ 92 Lacs+"
2,AARON RASHID.J.M,Theni,INC,0,12th Pass,"Rs 24,89,74,573
~ 24 Crore+","Rs 21,91,815
~ 21 Lacs+"
3,AAWALE JAYWANT GANGARAM,Latur,INC,1,10th Pass,"Rs 3,04,85,766
~ 3 Crore+","Rs 0
~"
4,ABDUL MANNAN HOSSAIN,Murshidabad,INC,1,Graduate,"Rs 17,09,788
~ 17 Lacs+","Rs 10,06,391
~ 10 Lacs+"
5,ABDUL RAHMAN,Vellore,DMK,0,Graduate,"Rs 1,25,47,128
~ 1 Crore+","Rs 32,97,328
~ 32 Lacs+"
6,Abu Hasem Khan Choudhury,Maldaha Dakshin,INC,0,Doctorate,"Rs 87,82,797
~ 87 Lacs+","Rs 0
~"
7,Acharia Basudeb,Bankura,CPM,0,Post Graduate,"Rs 32,49,037
~ 32 Lacs+","Rs 0
~"
8,AD.KAMAT GURUDAS VASANT,Mumbai North West,INC,0,Graduate Professional,"Rs 6,39,26,963
~ 6 Crore+","Rs 0
~"
9,ADAGUR H. VISWANATH,Mysore,INC,0,Graduate Professional,"Rs 2,82,91,172
~ 2 Crore+","Rs 73,67,061
~ 73 Lacs+"
10,ADHALRAO SHIVAJI DATTATRAY,Shirur,SHS,4,Post Graduate,"Rs 12,71,13,134
~ 12 Crore+","Rs 1,62,21,275
~ 1 Crore+"
11,ADHIKARI SISIR KUMAR,Kanthi,AITC,1,12th Pass,"Rs 10,83,159
~ 10 Lacs+","Rs 0
~"
12,ADHIKARI SUVENDU,Tamluk,AITC,3,Graduate,"Rs 47,51,934
~ 47 Lacs+","Rs 0
~"
13,ADHIR RANJAN CHOWDHURY,Baharampur,INC,4,10th Pass,"Rs 2,99,43,557
~ 2 Crore+","Rs 19,26,083
~ 19 Lacs+"
14,ADITYA NATH,Gorakhpur,BJP,2,Graduate,"Rs 21,82,212
~ 21 Lacs+","Rs 0
~"
15,ADSUL ANANDRAO VITHOBA,Amravati,SHS,1,Graduate,"Rs 1,77,08,418
~ 1 Crore+","Rs 0
~"
16,Adv A Sampath,Attingal,CPM,2,Post Graduate,"Rs 89,99,000
~ 89 Lacs+","Rs 21,50,029
~ 21 Lacs+"
17,Adv P T Thomas,Idukki,INC,0,Post Graduate,"Rs 39,84,094
~ 39 Lacs+","Rs 4,48,284
~ 4 Lacs+"
18,ADV. DUDHGAONKAR GANESHRAO NAGORAO,Parbhani,SHS,0,Graduate Professional,"Rs 2,81,11,720
~ 2 Crore+","Rs 0
~"
19,AGATHA K. SANGMA,Tura,NCP,0,Post Graduate,"Rs 66,44,295
~ 66 Lacs+","Rs 0
~"
20,AHIR HANSARAJ GANGARAM,Chandrapur,BJP,30,10th Pass,"Rs 80,84,050
~ 80 Lacs+","Rs 2,62,243
~ 2 Lacs+"
21,AJAY MAKAN,New Delhi,INC,1,Post Graduate,"Rs 4,01,48,040
~ 4 Crore+","Rs 97,120
~ 97 Thou+"
22,AJIT SINGH,Baghpat,RLD,0,Post Graduate,"Rs 5,82,32,462
~ 5 Crore+","Rs 13,077
~ 13 Thou+"
23,AKHILESH YADAV,Firozabad,SP,0,Graduate Professional,"Rs 4,44,09,557
~ 4 Crore+","Rs 77,26,354
~ 77 Lacs+"
24,AKHILESH YADAV,Kannauj,SP,0,Graduate Professional,"Rs 4,85,82,202
~ 4 Crore+","Rs 77,26,354
~ 77 Lacs+"
25,ALAGIRI M.K,Madurai,DMK,0,Graduate,"Rs 19,39,78,895
~ 19 Crore+","Rs 0
~"
26,ALAGIRI S,Cuddalore,INC,0,Graduate,"Rs 1,18,66,846
~ 1 Crore+","Rs 7,81,36,525
~ 7 Crore+"
27,Amarnath Pradhan,Sambalpur,INC,0,Graduate,"Rs 43,25,000
~ 43 Lacs+","Rs 4,66,494
~ 4 Lacs+"
28,AMBICA BANERJEE,Howrah,AITC,1,Graduate Professional,"Rs 6,29,26,674
~ 6 Crore+","Rs 72,33,333
~ 72 Lacs+"
29,ANAND PRAKASH PARANJAPE,Kalyan,SHS,1,Post Graduate,"Rs 1,19,98,220
~ 1 Crore+","Rs 38,71,225
~ 38 Lacs+"
30,ANANDAN M,Viluppuram,ADMK,0,12th Pass,"Rs 89,38,646
~ 89 Lacs+","Rs 9,67,994
~ 9 Lacs+"
31,ANANT GEETE,Raigad,SHS,1,10th Pass,"Rs 85,55,617
~ 85 Lacs+","Rs 0
~"
32,Ananth Kumar,Bangalore South,BJP,0,Graduate Professional,"Rs 1,22,06,366
~ 1 Crore+","Rs 0
~"
33,ANANTHA VENKATA RAMI REDDY,Anantapur,INC,0,Post Graduate,"Rs 1,30,15,000
~ 1 Crore+","Rs 0
~"
34,Ananthkumar Hegde,Uttara Kannada,BJP,3,12th Pass,"Rs 64,27,192
~ 64 Lacs+","Rs 39,55,458
~ 39 Lacs+"
35,Angadi Suresh Channabasappa,Belgaum,BJP,2,Graduate Professional,"Rs 22,17,34,263
~ 22 Crore+","Rs 4,33,92,842
~ 4 Crore+"
36,ANJAN KUMAR YADAV,Secunderabad,INC,0,12th Pass,"Rs 2,06,20,697
~ 2 Crore+","Rs 15,00,000
~ 15 Lacs+"
37,ANNAYYAGARI SAI PRATHAP,Rajampet,INC,0,12th Pass,"Rs 62,33,245
~ 62 Lacs+","Rs 6,05,031
~ 6 Lacs+"
38,ANNUTANDON,Unnao,INC,1,Graduate,"Rs 42,13,52,753
~ 42 Crore+","Rs 0
~"
39,Anto Antony,Pathanamthitta,INC,0,Graduate,"Rs 14,24,205
~ 14 Lacs+","Rs 17,06,713
~ 17 Lacs+"
40,ANUP KUMAR SAHA,Bardhaman Purba,CPM,0,Post Graduate,"Rs 74,72,944
~ 74 Lacs+","Rs 0
~"
41,ANURAG SINGH THAKUR,Hamirpur,BJP,0,Graduate,"Rs 2,41,50,103
~ 2 Crore+","Rs 25,04,550
~ 25 Lacs+"
42,Arjun Charan Sethi,Bhadrak,BJD,0,Post Graduate,"Rs 1,10,61,000
~ 1 Crore+","Rs 25,00,000
~ 25 Lacs+"
43,ARJUN MUNDA,Jamshedpur,BJP,2,Graduate Professional,"Rs 1,23,84,895
~ 1 Crore+","Rs 1,76,069
~ 1 Lacs+"
44,ARJUN RAM MEGHWAL,Bikaner,BJP,0,Post Graduate,"Rs 25,63,467
~ 25 Lacs+","Rs 0
~"
45,ARJUN ROY,Sitamarhi,JD(U),0,Doctorate,"Rs 29,07,146
~ 29 Lacs+","Rs 4,62,913
~ 4 Lacs+"
46,ARUN SUBHASHCHANDRA YADAV,Khandwa,INC,1,Graduate,"Rs 5,32,89,688
~ 5 Crore+","Rs 2,75,62,966
~ 2 Crore+"
47,ARVIND KUMAR CHAUDHARY,Basti,BSP,0,12th Pass,"Rs 1,86,43,936
~ 1 Crore+","Rs 0
~"
48,ARVIND KUMAR SHARMA,Karnal,INC,0,Post Graduate,"Rs 1,90,71,256
~ 1 Crore+","Rs 0
~"
49,Asaduddin Owaisi,Hyderabad,AIMIM,4,Graduate Professional,"Rs 93,02,233
~ 93 Lacs+","Rs 0
~"
50,ASHOK ARGAL,Bhind,BJP,4,12th Pass,"Rs 79,72,241
~ 79 Lacs+","Rs 1,00,000
~ 1 Lacs+"
51,ASHOK KUMAR RAWAT,Misrikh,BSP,0,Post Graduate,"Rs 62,21,049
~ 62 Lacs+","Rs 6,65,426
~ 6 Lacs+"
52,ASHOK TANWAR,Sirsa,INC,2,Post Graduate,"Rs 2,36,64,959
~ 2 Crore+","Rs 0
~"
53,ASWAMEDH DEVI,Ujiarpur,JD(U),0,5th Pass,"Rs 1,05,36,274
~ 1 Crore+","Rs 3,41,141
~ 3 Lacs+"
54,AVTAR SINGH BHADANA,Faridabad,INC,1,8th Pass,"Rs 4,05,73,585
~ 4 Crore+","Rs 0
~"
55,B. JHANSI,Vizianagaram,INC,1,Post Graduate,"Rs 2,29,51,539
~ 2 Crore+","Rs 0
~"
56,B.Y. RAGHAVENDRA,Shimoga,BJP,0,Graduate Professional,"Rs 6,62,73,401
~ 6 Crore+","Rs 42,34,969
~ 42 Lacs+"
57,BAALU T R,Sriperumbudur,DMK,0,Graduate,"Rs 7,69,71,478
~ 7 Crore+","Rs 0
~"
58,BABAR GAJANAN DHARMSHI,Maval,SHS,7,Literate,"Rs 6,78,31,434
~ 6 Crore+","Rs 0
~"
59,Babu Lal Marandi,Kodarma,JVM,1,Graduate,"Rs 21,37,675
~ 21 Lacs+","Rs 0
~"
60,BADRI RAM,Pali,INC,1,Literate,"Rs 6,02,43,814
~ 6 Crore+","Rs 4,98,169
~ 4 Lacs+"
61,BADRUDDIN AJMAL,Dhubri,AUDF,0,Literate,"Rs 30,35,20,991
~ 30 Crore+","Rs 0
~"
62,BAIDYANATH PRASAD MAHTO,Valmiki Nagar,JD(U),1,10th Pass,"Rs 44,28,802
~ 44 Lacs+","Rs 5,20,445
~ 5 Lacs+"
63,Baijayant Panda,Kendrapara,BJD,0,Graduate Professional,"Rs 16,11,00,792
~ 16 Crore+","Rs 4,51,767
~ 4 Lacs+"
64,BAJU BAN RIYAN,Tripura East,CPM,0,Graduate,"Rs 36,95,981
~ 36 Lacs+","Rs 0
~"
65,BAL KUMAR PATEL,Mirzapur,SP,10,12th Pass,"Rs 2,29,78,000
~ 2 Crore+","Rs 1,16,95,272
~ 1 Crore+"
66,Baliram Kashyap,Bastar,BJP,0,8th Pass,"Rs 99,48,590
~ 99 Lacs+","Rs 11,66,014
~ 11 Lacs+"
67,BALKRISHNA KHANDERAO SHUKLA,Vadodara,BJP,1,Graduate,"Rs 26,62,058
~ 26 Lacs+","Rs 2,16,512
~ 2 Lacs+"
68,BANSAGOPAL CHOWDHURY,Asansol,CPM,0,Graduate,"Rs 14,23,763
~ 14 Lacs+","Rs 0
~"
69,BAPIRAJU KANUMURU,Narsapuram,INC,0,10th Pass,"Rs 3,05,74,013
~ 3 Crore+","Rs 38,12,438
~ 38 Lacs+"
70,BASORI SINGH MASRAM,Mandla,INC,0,8th Pass,"Rs 36,21,178
~ 36 Lacs+","Rs 3,50,000
~ 3 Lacs+"
71,BENI PRASAD VERMA,Gonda,INC,0,Graduate Professional,"Rs 2,01,83,574
~ 2 Crore+","Rs 80,932
~ 80 Thou+"
72,BHAJAN LAL,Hisar,HJCBL,0,12th Pass,"Rs 6,51,13,381
~ 6 Crore+","Rs 73,54,075
~ 73 Lacs+"
73,Bhakta Charan Das,Kalahandi,INC,4,Graduate Professional,"Rs 55,82,100
~ 55 Lacs+","Rs 20,61,217
~ 20 Lacs+"
74,BHARAT RAM MEGHWAL,Ganganagar,INC,0,Graduate Professional,"Rs 50,16,000
~ 50 Lacs+","Rs 4,00,000
~ 4 Lacs+"
75,Bhartruhari Mahtab,Cuttack,BJD,0,Post Graduate,"Rs 5,07,93,831
~ 5 Crore+","Rs 0
~"
76,BHAVANA GAWALI (PATIL),Yavatmal-Washim,SHS,1,Graduate,"Rs 3,03,99,471
~ 3 Crore+","Rs 24,30,911
~ 24 Lacs+"
77,BHISMA SHANKAR ALIAS KUSHAL TIWARI,Sant Kabir Nagar,BSP,0,12th Pass,"Rs 3,19,26,944
~ 3 Crore+","Rs 11,25,920
~ 11 Lacs+"
78,BholaSingh,Nawada,BJP,0,Doctorate,"Rs 38,93,000
~ 38 Lacs+","Rs 3,60,000
~ 3 Lacs+"
79,BHONSLE SHRIMANT CHH. UDYANRAJE PRATAPSINH,Satara,NCP,14,Others,"Rs 11,72,53,344
~ 11 Crore+","Rs 18,00,000
~ 18 Lacs+"
80,BHUDEO CHOUDHARY,Jamui,JD(U),0,Graduate Professional,"Rs 40,79,000
~ 40 Lacs+","Rs 2,89,192
~ 2 Lacs+"
81,Bibhu Prasad Tarai,Jagatsinghpur,CPI,0,Post Graduate,"Rs 44,60,251
~ 44 Lacs+","Rs 43,000
~ 43 Thou+"
82,BIJOY KRISHNA HANDIQUE,Jorhat,INC,0,Post Graduate,"Rs 1,54,28,123
~ 1 Crore+","Rs 0
~"
83,BIJOYA CHAKRAVARTY,Gauhati,BJP,0,Post Graduate,"Rs 18,70,000
~ 18 Lacs+","Rs 0
~"
84,BIREN SINGH ENGTI,Autonomous District,INC,0,Post Graduate,"Rs 2,52,97,068
~ 2 Crore+","Rs 0
~"
85,BRIJBHUSHAN SARAN SINGH,Kaiserganj,SP,2,Graduate Professional,"Rs 5,35,37,885
~ 5 Crore+","Rs 0
~"
86,C P JOSHI,Bhilwara,INC,0,Doctorate,"Rs 2,03,76,956
~ 2 Crore+","Rs 14,00,000
~ 14 Lacs+"
87,C.L.RUALA,Mizoram,INC,0,Graduate Professional,"Rs 53,54,186
~ 53 Lacs+","Rs 0
~"
88,CAPTAIN JAI NARAYAN PRASAD NISHAD,Muzaffarpur,JD(U),0,12th Pass,"Rs 1,51,48,831
~ 1 Crore+","Rs 43,37,141
~ 43 Lacs+"
89,CH. LAL SINGH,Udhampur,INC,0,Graduate,"Rs 17,62,378
~ 17 Lacs+","Rs 26,50,000
~ 26 Lacs+"
90,CHANDRAKANT KHAIRE,Aurangabad,SHS,16,12th Pass,"Rs 1,41,51,539
~ 1 Crore+","Rs 14,72,122
~ 14 Lacs+"
91,CHANDRAKANT RAGHUNATH PATIL,Navsari,BJP,6,10th Pass,"Rs 24,20,83,697
~ 24 Crore+","Rs 4,22,08,512
~ 4 Crore+"
92,CHANDRESH KUMARI,Jodhpur,INC,0,12th Pass,"Rs 13,28,81,067
~ 13 Crore+","Rs 60,744
~ 60 Thou+"
93,Chandulal Sahu (Chandu Bhaiya),Mahasamund,BJP,0,Graduate Professional,"Rs 68,05,000
~ 68 Lacs+","Rs 13,00,000
~ 13 Lacs+"
94,Charandas Mahant,Korba,INC,0,Doctorate,"Rs 4,27,04,354
~ 4 Crore+","Rs 16,43,424
~ 16 Lacs+"
95,CHAVAN HARISHCHANDRA DEORAM,Dindori,BJP,1,Graduate,"Rs 85,15,581
~ 85 Lacs+","Rs 15,20,114
~ 15 Lacs+"
96,CHIDAMBARAM P,Sivaganga,INC,0,Post Graduate,"Rs 26,79,08,542
~ 26 Crore+","Rs 0
~"
97,Chinta Mohan,Tirupati,INC,0,Graduate Professional,"Rs 55,12,900
~ 55 Lacs+","Rs 5,57,719
~ 5 Lacs+"
98,CHITTHAN N S V,Dindigul,INC,0,Graduate,"Rs 1,70,35,764
~ 1 Crore+","Rs 0
~"
99,CHOUDHURY MOHAN JATUA,Mathurapur,AITC,0,Post Graduate,"Rs 25,85,000
~ 25 Lacs+","Rs 0
~"
100,COSME FRANCISCO CAITANO SARDINHA,South Goa,INC,0,Graduate Professional,"Rs 2,94,73,470
~ 2 Crore+","Rs 4,43,500
~ 4 Lacs+"
101,D. PURANDARESHWARI,Visakhapatnam,INC,0,Graduate,"Rs 20,26,39,034
~ 20 Crore+","Rs 5,60,000
~ 5 Lacs+"
102,D.B. Chandre Gowda,Bangalore North,BJP,0,Graduate Professional,"Rs 2,08,40,751
~ 2 Crore+","Rs 0
~"
103,D.V.Sadananda Gowda,Udupi Chikmagalur,BJP,0,Graduate Professional,"Rs 1,43,75,959
~ 1 Crore+","Rs 24,86,447
~ 24 Lacs+"
104,DANVE RAOSAHEB DADARAO,Jalna,BJP,3,12th Pass,"Rs 2,42,71,518
~ 2 Crore+","Rs 5,30,771
~ 5 Lacs+"
105,DARA SINGH CHAUHAN,Ghosi,BSP,2,10th Pass,"Rs 20,44,115
~ 20 Lacs+","Rs 9,27,848
~ 9 Lacs+"
106,DARSNABEN VIKRAMBHAI JARDOS,Surat,BJP,1,Graduate,"Rs 90,21,338
~ 90 Lacs+","Rs 3,95,000
~ 3 Lacs+"
107,DATTA MEGHE,Wardha,INC,0,Graduate,"Rs 28,77,39,495
~ 28 Crore+","Rs 7,00,08,871
~ 7 Crore+"
108,Deepa Dasmunsi,Raiganj,INC,0,Post Graduate,"Rs 1,25,14,145
~ 1 Crore+","Rs 0
~"
109,DEEPENDER SINGH,Rohtak,INC,0,Post Graduate,"Rs 6,53,67,032
~ 6 Crore+","Rs 0
~"
110,DEORA MILIND MURLI,Mumbai South,INC,0,Graduate Professional,"Rs 17,53,73,142
~ 17 Crore+","Rs 0
~"
111,DEORAJ SINGH PATEL,Rewa,BSP,0,Post Graduate,"Rs 3,08,45,000
~ 3 Crore+","Rs 49,61,271
~ 49 Lacs+"
112,DEV JI PATEL,Jalore,BJP,0,10th Pass,"Rs 1,12,61,830
~ 1 Crore+","Rs 0
~"
113,DEVENDRA NAGPAL,Amroha,RLD,6,Graduate,"Rs 13,24,25,712
~ 13 Crore+","Rs 1,39,60,788
~ 1 Crore+"
114,DEVIDHAN BESRA,Rajmahal,BJP,0,10th Pass,"Rs 48,28,559
~ 48 Lacs+","Rs 0
~"
115,DHANANJAY SINGH,Jaunpur,BSP,1,Post Graduate,"Rs 43,62,656
~ 43 Lacs+","Rs 6,78,982
~ 6 Lacs+"
116,DHARMENDRA YADAV,Badaun,SP,0,Post Graduate,"Rs 56,82,299
~ 56 Lacs+","Rs 98,000
~ 98 Thou+"
117,DHOTRE SANJAY SHAMRAO,Akola,BJP,4,Graduate Professional,"Rs 1,93,35,144
~ 1 Crore+","Rs 22,21,980
~ 22 Lacs+"
118,DINESH CHANDRA YADAV,Khagaria,JD(U),0,Others,"Rs 63,05,253
~ 63 Lacs+","Rs 15,922
~ 15 Thou+"
119,DINESH TRIVEDI,Barrackpur,AITC,0,Post Graduate,"Rs 2,72,03,930
~ 2 Crore+","Rs 0
~"
